text,testament,book,chapter,verse,duration_seconds,speaker_id,filename,everyvoice_utmos,everyvoice_asr_hyp,everyvoice_wer
"Nítorí pẹ̀lú iná àti idà ni Olúwa yóò ṣe ìdájọ́ lórí i gbogbo ènìyàn, àti ọ̀pọ̀lọpọ̀ ni àwọn tí Olúwa yóò pa.",Old Testament,Isaiah,66,16,8.65,SPEAKER_00,ISA_066_Verse_016.wav,1.787109375,nítorí pẹ̀lú iná àti idà ni olúwa yóò ṣe ìdájọ́ lórí gbogbo ènìyàn àti ọ̀pọ̀lọpọ̀ ni àwọn tí olúwa yóò pa,0.2727272727272727
"Lẹ́yìn náà ni wọ́n wí pé, “Ọlọ́run àwọn Heberu tí pàdé wa. Ní ìsinsin yìí, jẹ́ kí a lọ ní ìrìn ọjọ́ mẹ́ta sínú aginjù láti rú ẹbọ sí Olúwa Ọlọ́run wa, kí Ó má ba á fi àjàkálẹ̀-ààrùn tàbí idà bá wa jà.”",Old Testament,Exodus,5,3,17.64,SPEAKER_00,EXO_005_Verse_003.wav,2.50390625,lẹ́yìn náà ni wọ́n wí pé ọlọ́run àwọn heberu ti pàdé wa ní ìsinsin yìí jẹ́ kí a lọ ní ìrìn ọjọ́ mẹ́ta sínú aginjù láti rú ẹbọ sí olúwa ọlọ́run wa kí ó má ba à fi àjàkálẹ̀-ààrùn tàbí ìdàbà wa jà,0.36363636363636365
"Ǹjẹ́ bí nǹkan wọ̀nyí tí parí tan, Paulu pinnu nínú ọkàn rẹ̀ pé, nígbà tí òun bá kọjá ní Makedonia àti Akaia, òun ó lọ sí Jerusalẹmu, ó wí pé, “Lẹ́yìn ìgbà tí mo bá dé ibẹ̀, èmi kò lè ṣàìmá dé Romu pẹ̀lú.”",New Testament,Acts,19,21,18.19,SPEAKER_00,ACT_019_Verse_021.wav,2.712890625,ǹjẹ́ bí nǹkan wọ̀nyí ti parí tán paulu pinnu nínú ọkàn rẹ̀ pé nígbà tí òun bá kọjá ní makedonia àti akaia òun ń lọ sí jerusalẹmu ó wí pé lẹ́yìn ìgbà tí mo bá dé ibẹ̀ èmi kò lè ṣàìmá dé romu pẹ̀lú,0.3181818181818182
"“Olúwa mi, gbọ́ tiwa, ó jẹ́ alágbára ọmọ-aládé láàrín wa, sin òkú rẹ sí ibojì tí ó dára jù nínú àwọn ibojì wa, kò sí ẹni tí yóò fi ibojì rẹ dù ọ́ láti sin òkú rẹ sí.”",Old Testament,Genesis,23,6,14.06,SPEAKER_00,GEN_023_Verse_006.wav,1.76953125,olúwa mi gbọ́ tiwa ó jẹ́ alágbára ọmọ-aládé láàrín wa sin òkú rẹ sí ibojì tí ó dára jù nínú àwọn ibojì wa kò sí ẹni tí yóò fi ibojì rẹ dù ọ́ láti sin òkú rẹ sí,0.15789473684210525
Òfin yìí kan náà ni ó mú àwọn ọmọ tí a bí ni ilẹ̀ náà àti àwọn àlejò tí ń gbé ní àárín yín.”,Old Testament,Exodus,12,49,7.03,SPEAKER_00,EXO_012_Verse_049.wav,1.90234375,yìnyín kan náà ni ó mú àwọn mọ̀ tí a bí ní ilẹ̀ náà àti àwọn àlejò tí ń gbé ní àárín yín,0.20833333333333334
Ahasi sì kó gbogbo ohun èlò láti ilé Olúwa jọ ó sì kó wọn lọ. Ó sì ti ìlẹ̀kùn ilé Olúwa ó sì tẹ́ pẹpẹ fún ara rẹ̀ ní gbogbo igun Jerusalẹmu.,Old Testament,2 Chronicles,28,24,11.81,SPEAKER_00,2CH_028_Verse_024.wav,2.1328125,ahasi sì kó gbogbo ohun èlò láti ilé olúwa jọ ó sì kó wọn lọ ó sì ti ìlẹ̀kùn ilé olúwa ó sì tẹ́ pẹpẹ fún ara rẹ̀ ní gbogbo igun jerusalẹmu,0.1875
"Nítorí náà nígbà tí àwọn olórí àlùfáà, àti àwọn oníṣẹ́ rí i, wọ́n kígbe wí pé, “Kàn án mọ́ àgbélébùú, kàn án mọ́ àgbélébùú.” Pilatu wí fún wọn pé, “Ẹ mú un fún ara yín, kí ẹ sì kàn án mọ́ àgbélébùú: nítorí èmi kò rí ẹ̀ṣẹ̀ lọ́wọ́ rẹ̀.”",New Testament,John,19,6,19.13,SPEAKER_00,JHN_019_Verse_006.wav,2.369140625,nítorí náà nígbà tí àwọn olórí àlùfáà àti àwọn oníṣẹ́ rí i wọ́n kígbe wí pé kàn án mọ́ àgbélébùú kàn án mọ́ àgbélébùú pilatu wí fún wọn pé ẹ mú un fún ara yín kí ẹ sì kàn án mọ́ àgbélébùú nítorí èmi kò rí ẹ̀ṣẹ̀ lọ́wọ́ rẹ̀,0.2653061224489796
Àwọn orílẹ̀-èdè ti jì sí kòtò tí wọn ti gbẹ́; ẹsẹ̀ wọn ni àwọ̀n tí wọ́n dẹ sílẹ̀ kọ́.,Old Testament,Psalms,9,15,6.38,SPEAKER_00,PSA_009_Verse_015.wav,2.287109375,àwọn orílẹ̀-èdè ti jì sí kòtò tí wọ́n ti gbẹ́ ẹsẹ̀ wọn ni àwọ̀n tí wọ́n dẹ sílẹ̀ kọ́,0.21052631578947367
"Mose sọ fún Kora pé, “Ìwọ àti ọmọ lẹ́yìn rẹ gbọdọ̀ fi ara hàn níwájú Olúwa lọ́la—gbogbo yín, ìwọ, àwọn ọmọ lẹ́yìn rẹ àti Aaroni.",Old Testament,Numbers,16,16,11.3,SPEAKER_00,NUM_016_Verse_016.wav,2.83984375,mose sọ fún kora pé ìwọ àti ọmọlẹ́yìn rẹ gbọdọ̀ fi ara han níwájú olúwa lọ́là gbogbo yín ìwọ àwọn ọmọlẹ́yìn rẹ àti aaroni,0.6
Ní ìgbà tí àlùfáà Paṣuri ọmọkùnrin Immeri olórí àwọn ìjòyè tẹmpili Olúwa gbọ́ tí Jeremiah ń sọ àsọtẹ́lẹ̀ nǹkan wọ̀nyí.,Old Testament,Jeremiah,20,1,10.5,SPEAKER_00,JER_020_Verse_001.wav,2.9765625,ní ìgbà tí àlùfáà paṣuri ọmọkùnrin miri olórí àwọn ìjòyè tẹmpili olúwa gbọ́ tí jeremiah ń sọ àsọtẹ́lẹ̀ nǹkan wọ̀nyí,0.3
"Ẹlẹ́gàn ń wá ọgbọ́n kò sì rí rárá, ṣùgbọ́n ìmọ̀ máa ń wà fún olóye.",Old Testament,Proverbs,14,6,5.73,SPEAKER_00,PRO_014_Verse_006.wav,1.8466796875,ẹlẹ́gàn ń wá ọgbọ́n kò sì rí rárá ṣùgbọ́n ìwọ̀n máa ń wà fún olóye,0.26666666666666666
"Jese sì ni baba Eliabu àkọ́bí rẹ̀; ọmọ ẹlẹ́ẹ̀kejì sì ni Abinadabu, ẹlẹ́ẹ̀kẹta ni Ṣimea,",Old Testament,1 Chronicles,2,13,9.14,SPEAKER_00,1CH_002_Verse_013.wav,3.46875,jese sì ni baba eliabu àkọ́bí rẹ̀ ọmọ ẹlẹ́ẹ̀kejì sì ni abinadabu ẹlẹ́ẹ̀kẹta ni ṣimea,0.3333333333333333
"Bí angẹli kan ba wà lọ́dọ̀ rẹ̀, ẹni tí ń ṣe alágbàwí, ọ̀kan nínú ẹgbẹ̀rún (1,000) láti fi ọ̀nà pípé hàn ni,",Old Testament,Job,33,23,6.82,SPEAKER_00,JOB_033_Verse_023.wav,2.599609375,bí angẹli kan bá wà lọ́dọ̀ rẹ̀ ẹni tí ń ṣe alágbàwí ọ̀kan nínú ẹgbẹ̀rún ti fi ọ̀nà,0.4090909090909091
Ìṣúra tí a kójọ nípasẹ̀ ahọ́n tí ń parọ́ jẹ́ ìrì lásán àti ìkẹ́kùn ikú.,Old Testament,Proverbs,21,6,5.32,SPEAKER_00,PRO_021_Verse_006.wav,2.068359375,ìṣúra tí a kójọ nípasẹ̀ ahọ́n tí ń parọ́ jẹ́ ìrì lásán àti ìkẹ́kùn ikú,0.13333333333333333
"Èyí ni ohun tí Olúwa wí, “Nítorí ẹ̀ṣẹ̀ mẹ́ta ti Moabu, àní fún mẹ́rin, Èmi kò ní yí ìpinnu ìjìyà mi padà, nítorí ó ti sun ún, di eérú, egungun ọba Edomu,",Old Testament,Amos,2,1,14.08,SPEAKER_00,AMO_002_Verse_001.wav,2.474609375,èyí ni ohun tí olúwa wí nítorí ẹ̀ṣẹ̀ mẹ́ta ti moabu àní fún mẹ́rìn èmi kò ní yí ìpinnu ìjìyà mi padà nítorí ó ti sùn di eérú egungun ọba edomu,0.375
"“ ‘Wọ́n ti mú àwọn ènìyàn mi ṣìnà, wọ́n ní, “Àlàáfíà,” nígbà tí kò sí àlàáfíà, nítorí pé bí àwọn ènìyàn bá mọ odi fẹ́lẹ́fẹ́lẹ́, wọn a fi amọ̀ àìpò rẹ́ ẹ, wọn ó sì fi ẹfun kùn ún,",Old Testament,Ezekiel,13,10,17.52,SPEAKER_00,EZK_013_Verse_010.wav,2.576171875,wọ́n ti mú àwọn ènìyàn mi ṣìnà wọ́n ní àlàáfíà nígbà tí kò sí àlàáfíà nítorí pé bí àwọn ènìyàn bá mọ di fẹ́lẹ́fẹ́lẹ́ wọn a fi amọ àìpò rẹ wọn ó sì fi ẹfun kùn ún,0.3076923076923077
"“Ìwọ ha dẹ ọdẹ fún abo kìnnìún bí? Ìwọ ó sì tẹ ebi ẹgbọrọ kìnnìún lọ́rùn,",Old Testament,Job,38,39,5.6,SPEAKER_00,JOB_038_Verse_039.wav,1.931640625,ìwọ ha dẹ ọdẹ fún abo kìnnú bí ìwọ ó sì tẹ ibi ẹgbọrọ kìnnú lọ́rùn,0.4375
Ṣùgbọ́n ọpẹ́ ní fún Ọlọ́run ẹni tí ó fì ìṣẹ́gun fún wá nípa Olúwa wá Jesu Kristi!,New Testament,1 Corinthians,15,57,6.06,SPEAKER_00,1CO_015_Verse_057.wav,2.1171875,ṣùgbọ́n ọpẹ́ ní fún ọlọ́run ẹni tí ó fì ṣẹ́gun fún wá nípa olúwa wá jesu kristi,0.35294117647058826
Ẹnikẹ́ni tí ó bá gbẹ́kẹ̀lé ọrọ̀ rẹ̀ yóò ṣubú; ṣùgbọ́n olódodo yóò gbilẹ̀ bí i koríko tútù.,Old Testament,Proverbs,11,28,7.36,SPEAKER_00,PRO_011_Verse_028.wav,2.55859375,ẹnikẹ́ni tí ó bá gbẹ́kẹ̀lé ọrọ̀ rẹ̀ yóò ṣubú ṣùgbọ́n olódo yóò gbilẹ̀ bí koríko tútù,0.29411764705882354
"“Ṣùgbọ́n ìbùkún ni fún ọkùnrin náà tí ó gbẹ́kẹ̀lé Olúwa, tí ó sì fi Olúwa ṣe ìgbẹ́kẹ̀lé rẹ̀.",Old Testament,Jeremiah,17,7,8.54,SPEAKER_00,JER_017_Verse_007.wav,2.9296875,ṣùgbọ́n ìbùkún ni fún ọkùnrin náà tí ó gbẹ́kẹ̀lé olúwa tí ó sì fi olúwa ṣe ìgbẹ́kẹ̀lé rẹ̀,0.2222222222222222
Wọ́n kọ gbogbo oúnjẹ wọ́n sì súnmọ́ ẹnu-ọ̀nà ikú.,Old Testament,Psalms,107,18,4.5,SPEAKER_00,PSA_107_Verse_018.wav,1.771484375,wọ́n kọ gbogbo oúnjẹ wọ́n sì súnmọ́ ẹnu-ọ̀nà ikú,0.2222222222222222
"Ṣùgbọ́n wọn yóò sọ wí pé, ‘Kò ṣe nǹkan kan, àwa yóò tẹ̀síwájú nínú èrò wa, ẹnìkọ̀ọ̀kan wa, yóò hùwà agídí ọkàn búburú rẹ̀.’ ”",Old Testament,Jeremiah,18,12,11.6,SPEAKER_00,JER_018_Verse_012.wav,2.0390625,ṣùgbọ́n wọn yóò sọ wí pé kò ṣe nǹkan kan àwa yóò tẹ̀síwájú nínú èrò wa ẹnìkọ̀ọ̀kan wa yóò wá gidi ọkàn búburú rẹ̀,0.4
Wòlíì Jeremiah wí fún wòlíì Hananiah ní iwájú ọmọ àlùfáà àti àwọn ènìyàn tí wọ́n dúró ní ilé Olúwa.,Old Testament,Jeremiah,28,5,9.19,SPEAKER_00,JER_028_Verse_005.wav,2.501953125,wòlíì jeremiah wí fún wòlíì ananiah ní iwájú ọmọ àlùfáà àti àwọn ènìyàn tí wọ́n dúró ní ilé olúwa,0.21052631578947367
"Nígbà náà ni ó gbé òkú náà sínú ibojì ara rẹ̀, wọ́n sì ṣọ̀fọ̀ lórí rẹ̀, wọ́n sì wí pé, “Ó ṣe, arákùnrin mi!”",Old Testament,1 Kings,13,30,7.36,SPEAKER_00,1KI_013_Verse_030.wav,2.849609375,nígbà náà ni ó gbé òkú náà sínú ibojì ara rẹ̀ wọ́n sì ṣọ̀fọ̀ lórí rẹ̀ wọ́n sì wí pé ó ṣe ìrànjú arákùnrin mi,0.3333333333333333
Ta ni nínú gbogbo àwọn òrìṣà ilẹ̀ yìí tí ó ti gbìyànjú láti gba ilẹ̀ rẹ̀ kúrò lọ́wọ́ mi? Báwo ni Olúwa yóò ṣe gba Jerusalẹmu kúrò lọ́wọ́ mi?”,Old Testament,2 Kings,18,35,10.4,SPEAKER_00,2KI_018_Verse_035.wav,2.291015625,ta ni nínú gbogbo àwọn òrìṣà ilẹ̀ yìí tí ó ti gbìyànjú láti gba ilẹ̀ rẹ̀ kúrò lọ́wọ́ mi báwo ni olúwa yóò ṣe gba jerusalẹmu kúrò lọ́wọ́ mi,0.20689655172413793
Nígbà tí àsìkò ìbímọ rẹ̀ tó. Ìbejì ọkùnrin ni ó bí.,Old Testament,Genesis,38,27,4.36,SPEAKER_00,GEN_038_Verse_027.wav,1.65234375,nígbà tí àsìkò ìbímọ rẹ̀ tó ìbejì ọkùnrin nínú ìrònú ìní,0.5454545454545454
"Nígbàkígbà tí ẹnìkan bá wá wò mí, wọn ń sọ̀rọ̀ ẹ̀tàn, nígbà tí àyà rẹ̀ bá kó ẹ̀ṣẹ̀ jọ sí ara rẹ̀; nígbà tí ó bá jáde lọ yóò sì máa tàn án kálẹ̀.",Old Testament,Psalms,41,6,11.52,SPEAKER_00,PSA_041_Verse_006.wav,2.353515625,nígbàkígbà tí ẹnìkan bá wá wò mí wọ́n ń sọ̀rọ̀ ẹ̀tàn nígbà tí àyà rẹ̀ bá kó ẹ̀ṣẹ̀ jọ sí ara rẹ̀ nígbà tí ó bá jáde lọ yóò sì máa tàn án kalẹ̀,0.17647058823529413
"Nítorí náà, nígbà tí àwọn oníṣòwò ara Midiani ń kọjá, àwọn arákùnrin Josẹfu fà á jáde láti inú kòtò, wọ́n sì tà á fún àwọn ará Iṣmaeli ní ogún owó wúrà, wọ́n sì mú Josẹfu lọ sí ilẹ̀ Ejibiti.",Old Testament,Genesis,37,28,14.63,SPEAKER_00,GEN_037_Verse_028.wav,2.462890625,nítorí náà nígbà tí àwọn oníṣòwò ará midiani ń kọjá àwọn arákùnrin josẹfu fà á jáde láti inú kòtò wọ́n sì tà á fún àwọn ará iṣmaeli ní ogún owó wúrà wọ́n sì mú josẹfu lọ sí ilẹ̀ ejibiti,0.28205128205128205
Wọ́n kò sì lè ṣẹ́gun; bẹ́ẹ̀ ni a kò sì rí ipò wọn mọ́ ni ọ̀run.,New Testament,Revelation,12,8,4.71,SPEAKER_00,REV_012_Verse_008.wav,2.140625,wọn kò sì lè ṣẹ́gun bẹ́ẹ̀ ni a kò sì rí ipò wọn mọ́ ní ọrun,0.25
"kí ó gbé ọwọ́ rẹ̀ lé orí ẹbọ sísun náà yóò sì jẹ́ ìtẹ́wọ́gbà dípò o rẹ̀, yóò sì jẹ́ ètùtù fún un.",Old Testament,Leviticus,1,4,8.9,SPEAKER_00,LEV_001_Verse_004.wav,2.515625,kí ó gbé ọwọ́ rẹ̀ le orí ẹbọ sísun náà yóò sì jẹ́ ìtẹ́wọ́gbà dípò rẹ̀ yóò sì jẹ́ ètùtù fún un,0.17391304347826086
"Nígbà tí gbogbo wa sì yọ tan ni àwa tó mọ̀ pé, Mẹlita ni a ń pè erékùṣù náà.",New Testament,Acts,28,1,7.65,SPEAKER_00,ACT_028_Verse_001.wav,1.6728515625,nígbà tí gbogbo wa sì yọ tan ni àwa tó mọ̀ pé melita ni a ń pe rékùṣù náà,0.3157894736842105
"Bẹ̀rù Olúwa Ọlọ́run rẹ, Òun nìkan ni kí o sì máa sìn, búra ní orúkọ rẹ̀ nìkan.",Old Testament,Deuteronomy,6,13,8.5,SPEAKER_00,DEU_006_Verse_013.wav,2.484375,bẹ̀rù olúwa ọlọ́run rẹ òun nìkan ni kí ó sì máa sìn búra ni orúkọ rẹ̀ nìkan,0.5294117647058824
"Josiah kó gbogbo àwọn àlùfáà láti àwọn ìlú Juda ó sì ba ibi mímọ́ wọ̀n-ọn-nì jẹ́ láti Geba sí Beerṣeba, níbi tí àwọn àlùfáà ti sun tùràrí. Ó wó àwọn ojúbọ lulẹ̀ ní ẹnu ìlẹ̀kùn—ní ẹnu-ọ̀nà àbáwọlé ti Joṣua, baálẹ̀ ìlú ńlá tí ó wà ní apá òsì ẹnu ìlẹ̀kùn ìlú ńlá.",Old Testament,2 Kings,23,8,22.55,SPEAKER_00,2KI_023_Verse_008.wav,2.048828125,josiah kó gbogbo àwọn àlùfáà láti àwọn ìlú juda ó sì ba ibi mímọ́ wọ̀n-ọn-nì jẹ́ láti géba sí beerṣeba níbi tí àwọn àlùfáà ti sun tùràrí ó wọ́ àwọn ojúbọ lulẹ̀ ní ẹnu ìlẹ̀kùn ní ẹnu-ọ̀nà àbáwọlé ti joṣua baálẹ̀ ìlú ńlá tí ó wà ní apá osí inú ìlẹ̀kùn ìlú ńlá,0.25
"Dafidi sì béèrè lọ́dọ̀ Olúwa wí pé, “Kí èmi ó lépa ogun yìí bi? Èmi lè bá wọn?” Ó sì dá a lóhùn pé, “Lépa, nítorí pé ni bíbá ìwọ yóò bá wọn, ni gbígbà ìwọ yóò sì rí wọn gbà.”",Old Testament,1 Samuel,30,8,13.17,SPEAKER_00,1SA_030_Verse_008.wav,2.076171875,jesedi sì béèrè lọ́dọ̀ olúwa wí pé kí èmi ó lépa ogun yìí bí èmi lè bá wọn ó sì dá a lóhùn pé lépà nítorí pé ni gbígbà ìwọ yóò bá wọn ni gbígbà ìwọ yóò sì rí wọn gbà,0.3170731707317073
"Olúwa jókòó, Ó sì jẹ ọba lórí ìṣàn omi; Olúwa jókòó lórí ìtẹ́ gẹ́gẹ́ bí Ọba títí láéláé.",Old Testament,Psalms,29,10,7.26,SPEAKER_00,PSA_029_Verse_010.wav,2.646484375,olúwa jókòó ó sì jẹ́ ọba lórí ìṣàn mi olúwa jókòó lórí ìtẹ́ gẹ́gẹ́ bí ọba títí láé,0.4444444444444444
"ní Ẹni-Rimoni, ní Sora, ní Jarmatu,",Old Testament,Nehemiah,11,29,4.39,SPEAKER_00,NEH_011_Verse_029.wav,2.71875,ní ẹni rimoni ní sora ni jarmatu,0.8333333333333334
"Nígbà tí onítúbú si tají, tí o sì ri pé, àwọn ìlẹ̀kùn túbú tí ṣí sílẹ̀, ó fa idà rẹ̀ yọ, ó sì fẹ́ pa ara rẹ̀, ó ṣe bí àwọn ara túbú ti sálọ.",New Testament,Acts,16,27,12.27,SPEAKER_00,ACT_016_Verse_027.wav,1.220703125,nígbà tí onítúbú sì tají tí ó sì rí i pé àwọn ìlẹ̀kùn túbú ti ṣí sílẹ̀ ó fa idà rẹ̀ yọ ó sì fẹ́ pa ara rẹ̀ ó ṣe bí àwọn ará túbú ti sálọ,0.37142857142857144
Lẹ́yìn náà ó mú mi lọ sí ìta gbangba ni ìhà àríwá ó sì mú mi wọ àwọn yàrá ni òdìkejì ìta gbangba ilé Ọlọ́run àti ni òdìkejì ògiri ìta ní apá ìhà àríwá.,Old Testament,Ezekiel,42,1,14.12,SPEAKER_00,EZK_042_Verse_001.wav,2.279296875,lẹ́yìn náà ó mú mi lọ sí ìta gbangba ní ìhà àríwá ó sì mú mi wọ àwọn yàrá ní òdìkejì ìta gbangba ilé ọlọ́run àti ní òdìkejì ògiri ìta ní apá ìhà àríwá,0.17647058823529413
Nígbà tí Isaaki di ọmọ ogójì ọdún ni ó gbé Rebeka ọmọ Betueli ará Aramu ti Padani-Aramu tí í ṣe arábìnrin Labani ará Aramu ní ìyàwó.,Old Testament,Genesis,25,20,12.42,SPEAKER_00,GEN_025_Verse_020.wav,2.798828125,nígbà tí isaaki di ọmọ ogójì ọdún ni ó gbé rebeka ọmọ betueli ará aramu ti padani-aramu tí í ṣe arábìnrin labani ará aramu ní ìyàwó,0.34615384615384615
"Àní Jesu ti Nasareti, gẹ́gẹ́ bí Ọlọ́run ti da Ẹ̀mí Mímọ́ àti agbára le lórí; ẹni tí ó ń kiri ṣe oore, ó ń ṣe ìmúláradá gbogbo àwọn tí èṣù sì ń pọ́n lójú; nítorí Ọlọ́run wà pẹ̀lú rẹ̀.",New Testament,Acts,10,38,14.48,SPEAKER_00,ACT_010_Verse_038.wav,2.0078125,àní jesu ti nasareti gẹ́gẹ́ bí ọlọ́run ti da ẹ̀mí mímọ́ àti agbára lè lórí ẹni tí ó ń kírí ṣe òrè ó ń ṣe ìmúláradá gbogbo àwọn tí èṣù sì ń pọ́n lójú nítorí ọlọ́run wà pẹ̀lú rẹ̀,0.3333333333333333
"Ẹ máa ṣọ́nà, kí ẹ sì máa gbàdúrà, ki ẹ má ba à bọ́ sínú ìdánwò. Bí ó tilẹ̀ jẹ́ pé, ‘Ẹ̀mí ń fẹ́ ṣùgbọ́n ó ṣe àìlera fún ara.’ ”",New Testament,Mark,14,38,10.66,SPEAKER_00,MRK_014_Verse_038.wav,1.9814453125,ẹ máa ṣọ́nà kí ẹ sì máa gbàdúrà kí ẹ má ba à bọ́ sínú ìdánwò bí ó tilẹ̀ jẹ́ pé ẹ̀mí ń fẹ́ ṣùgbọ́n ó ṣe àìlera fún ara,0.3225806451612903
"Ṣùgbọ́n Mikaiah wí pe, “Gẹ́gẹ́ bí ó ti dájú pé Olúwa ń bẹ láààyè, èmi yóò sọ ohun tí Ọlọ́run mi sọ.”",Old Testament,2 Chronicles,18,13,8.67,SPEAKER_00,2CH_018_Verse_013.wav,2.265625,ṣùgbọ́n mikaiah wí pé gẹ́gẹ́ bí ó ti dájú pé olúwa ń bẹ láààyè èmi yóò sọ ohun tí ọlọ́run mi sọ,0.36363636363636365
